1	600	0	17	83	283.87077779720005	60
2	600	0	14	84	283.256279222	58
3	800	0	29	62	232.57005187459998	51
1	600	0	22	108	369.22234636120004	90
2	600	0	32	69	258.4827717314	61
1	800	0	31	73	269.8729569604	64
1	600	0	21	82	285.7442017842	63
2	800	0	35	59	230.6367713648	54
1	600	0	25	102	354.0254566354	87
1	800	0	41	60	241.3526014958	61
1	600	0	15	98	328.78709187659996	73
2	1000	0	38	72	275.5231571828	70
1	800	0	21	106	361.638865629	87
1	600	0	14	88	295.9053898628	62
2	600	0	37	62	242.64145516899998	59
1	1200	0	9	162	523.6193096586001	131
2	1600	0	41	128	456.3874823894	129
1	1600	0	26	143	484.9377661154	129
2	2200	0	31	138	475.42100487339997	129
3	600	0	16	96	323.72146196799997	72
4	600	0	18	86	294.61653618959997	64
5	600	0	29	72	264.1928284766	61
1	800	0	35	69	262.25954796679997	64
1	600	0	14	90	302.2299451832	64
1	800	0	33	97	348.2854716288	90
2	800	0	29	71	261.0305508164	60
3	600	0	36	57	225.5711414562	53
1	1200	0	13	161	525.4927336456	134
2	600	0	30	69	255.96492090779998	59
3	600	0	21	36	140.279429415	17
1	600	0	10	95	313.005631837	65
1	600	0	18	104	351.5375340732	82
2	1000	0	26	96	336.31071608599996	82
1	600	0	37	56	223.66778920779998	53
2	600	0	27	64	236.3767563714	51
1	600	0	37	62	242.64145516899998	59
1	600	0	11	115	377.5101104528	86
2	600	0	33	59	228.1189205412	52
1	600	0	21	72	254.1214251822	53
1	800	0	20	92	316.10805297440004	72
1	600	0	30	78	284.4254198496	68
2	1000	0	36	60	235.0579744368	56
1	800	0	36	63	244.5448074174	59
1	1200	0	28	146	496.9424499196	134
1	1000	0	32	132	457.706264324	124
1	600	0	36	58	228.7334191164	54
1	800	0	35	57	224.3122160444	52
1	800	0	19	82	283.22635096060003	61
1	1200	0	25	152	512.1393396454	137
2	800	0	34	66	251.5137895744	60
3	800	0	28	71	259.7716254046	59
1	600	0	28	70	256.6093477444	58
1	800	0	41	50	209.7298248938	51
1	1400	0	25	145	490.00339602400004	130
1	2000	0	50	104	391.8231472508	114
1	2200	0	26	139	472.2886554746	125
1	1400	0	31	138	475.42100487339997	129
1	800	0	21	110	374.28797626979997	91
1	1200	0	26	144	488.1000437756	130
1	1200	0	27	145	492.5212468476	132
1	800	0	32	67	252.158216411	59
1	600	0	19	93	318.0114052228	72
1	600	0	17	96	324.9803873798	73
1	600	0	38	78	294.496823144	76
1	800	0	41	85	320.4095430008	86
1	800	0	38	56	224.92671461959998	54
2	800	0	38	54	218.60215929920003	52
1	600	0	30	78	284.4254198496	68
1	600	0	25	76	271.8062374702	61
1	800	0	36	79	295.14124998060004	75
1	600	0	14	87	292.7431122026	61
2	600	0	34	60	232.54012361320002	54
1	800	0	36	73	276.1675840194	69
1	1200	0	22	149	498.8757304294	131
1	1400	0	27	78	280.6486436142	65
1	600	0	24	34	137.73165032999998	18
1	1800	0	26	145	491.2623214358	131
1	600	0	8	123	399.031555499	91
2	800	0	36	62	241.3825297572	58
3	800	0	32	64	242.6713834304	56
4	600	0	31	60	228.76334737780002	51
1	600	0	17	76	261.7348341758	53
1	1200	0	20	151	502.6824349262	131
1	600	0	18	101	342.0507010926	79
1	800	0	28	68	250.284792424	56
2	600	0	26	67	244.6046639402	53
1	600	0	23	85	297.74888558839996	68
1	600	0	23	75	266.12610898639997	58
1	600	0	9	118	384.47909260980003	87
1	800	0	40	76	290.6901186472	76
1	1200	0	25	145	490.00339602400004	130
2	600	0	20	93	319.2703306346	73
1	800	0	37	63	245.8037328292	60
1	2200	0	18	157	519.1382500638	135
1	1800	0	50	113	420.2836461926	123
1	600	0	31	62	235.0879026982	53
1	600	0	17	95	321.81810971960005	72
1	1200	0	16	161	529.269509881	137
1	800	0	34	59	229.37784595300002	53
1	600	0	26	74	266.7406075616	60
2	1000	0	37	63	245.8037328292	60
3	800	0	28	67	247.1225147638	55
1	600	0	27	72	261.674977653	59
1	2000	0	28	137	468.4819509778	125
2	600	0	29	63	235.7323295348	52
3	400	0	26	33	137.08722349340002	19
1	1000	0	34	57	223.0532906326	51
1	1200	0	15	162	531.1728621294001	137
1	2200	0	30	142	486.8111901024	132
1	600	0	13	99	329.4315187132	72
2	1400	0	40	64	252.7427867248	64
3	600	0	34	57	223.0532906326	51
4	800	0	36	55	219.2465861358	51
1	1600	0	16	161	529.269509881	137
1	600	0	11	101	333.23822321	72
2	600	0	37	72	274.264231771	69
3	800	0	34	74	276.812010856	68
1	800	0	40	67	262.2296197054	67
1	600	0	26	103	358.4466597074	89
1	600	0	35	57	224.3122160444	52
1	800	0	36	62	241.3825297572	58
2	800	0	36	58	228.7334191164	54
3	600	0	25	41	161.1265193632	26
1	800	0	41	75	288.7867663988	76
1	600	0	15	93	312.9757035756	68
1	400	0	24	38	150.3807609708	22
